ID,spat_x,spat_y,spat_z,mag
3,0.9947729755573012,0.02316083612470411,-0.09945000136187948,4.61
4,0.9724907547530315,0.024191749254364948,0.23168187496628395,5.51
5,0.5232450601957122,0.014310916737089513,0.8520620896642038,5.96
6,0.6548217597889717,0.018052548463334785,-0.7555677126511251,5.7
7,0.4351202774558326,0.012233181610625487,0.9002892276454499,5.59
12,0.9232879083449452,0.03135458012876317,-0.382826760570581,5.94
13,0.8330868349988392,0.02930433219374945,-0.5523654419551383,5.68
15,0.8732671177055424,0.031976732736498925,0.48619135090800686,2.06
16,0.9875181177576663,0.035736041899235266,-0.1533978566008404,5.99
21,0.5123852513139302,0.02053099639988756,0.8585102401385719,2.27
22,0.949168053729239,0.037458832348736516,0.3125329449176803,5.53
24,0.882312946851593,0.03601576794891704,-0.4692832068986785,5.42
25,0.6972333831978279,0.028648796303462672,-0.716271495890262,3.88
26,0.9801982803316864,0.04296063784599414,0.19330213353884612,5.51
27,0.6930476300755833,0.03123374870992242,0.7202148536292088,5.03
29,0.9947990429966037,0.044796597240766636,-0.09147747771276714,5.84
30,0.13517279569981042,0.0059224542958789305,-0.9908043398359792,5.28
31,0.9749266911694277,0.045606883542205545,-0.2178025688989898,5.85
33,0.9626152847229583,0.04735341175907074,-0.2667010836358069,4.89
34,0.8834556045559272,0.04465086719454176,-0.4663823483339573,5.41
35,0.8167462980388916,0.04185097501333658,-0.575477176376439,5.25
37,0.9500482518436987,0.05048274333980938,-0.3079932008886217,5.25
39,0.963482252755582,0.05570870278014367,0.26191313265963295,2.83
41,0.7529946460814155,0.04445037356122312,0.6565235923125623,5.72
42,0.8970206197133116,0.0536921872738443,-0.43871534830103315,5.94
45,0.9365483669315148,0.059756873331759566,0.34540740074226106,4.8
46,0.9888224137149016,0.06247133520701152,-0.13537934263575457,5.12
47,0.08710975596985834,0.005069751254544313,-0.9961858200341384,5.77
48,0.9439706642775363,0.06038210259066971,-0.3244586054802011,4.44
50,0.9860625724504035,0.0645435361854397,0.15334515039339008,5.79
51,0.9839984638760035,0.0640994094269269,-0.16624767306878152,5.75
57,0.8510118131664919,0.06006205363616981,-0.5217005305384362,5.67
60,0.475344156194076,0.03522337622172204,0.8790945608634403,5.74
62,0.6679364143781619,0.050080737292520265,0.7425313906495011,5.89
63,0.7784606363710371,0.058162713423738896,0.6249929090701654,4.61
